station,district,n_windows,stride_rows,raw_rows,xgb_raw_rmse,xgb_stride_rmse,ridge_raw_rmse,ridge_stride_rmse,persist_raw_rmse,persist_stride_rmse,clim_raw_rmse,clim_stride_rmse
"Composite School, Ghamhapur",MIRZAPUR,7,7,821,1.6875540384662644,0.83176642588414,4.043164226317313,3.7883239303431555,1.92825399154331,1.0365961455019417,6.890024187319103,7.456079737308818
"Composite School, Mungari",SANT RAVIDAS NAGAR,7,7,738,1.0736033686180764,0.9669199370504518,2.041625925239139,2.064300760963102,1.134685264530878,1.0931358620910874,1.577335464148366,1.6099322613578233
"Composite School, Pathraha",MIRZAPUR,7,7,747,0.6805281158891825,0.7181491839902178,2.3238077577135483,2.4863806287427264,0.7775665051211629,0.8713413318010629,3.8906589524738022,4.300578748917969
"Composite Uccha Prathmik Vidhyalaya, Paltadevi",SIDDHARTHNAGAR,7,7,817,0.29838092659740184,0.40331180424181395,0.491884941878821,0.3773187442877438,0.5010750077822047,0.5726864034139423,0.8470916653632539,0.6179563283518363
Composite Upper Primary School Sajania,SIDDHARTHNAGAR,6,6,699,0.9830818537237135,0.4911495361031209,2.9041069619256983,3.0642418674740006,0.8324573102509892,0.4564842437477689,2.7332225429074053,1.4830976916826932
DEOCHALI C.V. VIDYALAYA,FATEHPUR,7,7,746,0.46924728404917176,0.38419679040453075,1.1730442118667075,1.2694536271480428,0.45535568378016406,0.3750572309553946,2.1439236206817185,2.218803151666063
Deoria Bhaluwani Markna,DEORIA,7,7,721,0.3041268470825992,0.3819754314816178,0.6779802685882839,0.8171469455267271,0.408786883554099,0.5154708064844811,0.6525768197951097,0.6894502903596345
Deoria Bhatani Mishrauli Dichit,DEORIA,4,4,467,0.38025528836585076,0.48973189624579083,0.6100038208306032,0.7136933074091791,0.5302501128437633,0.6423357693788181,0.5321549021718234,0.5726114690881158
Deoria Bhatpar Rani Dharkwan,DEORIA,6,6,705,0.6146944015077836,0.7667563243119888,0.5931897410229028,0.8178263078091066,0.6140075815077306,0.8642844966738231,0.5233037554207057,0.6326863220112989
Deoria Salempur Manihari,DEORIA,6,6,627,0.3275750699830711,0.6609073106190064,0.4260481412452426,0.4704132233817008,0.3801489352459403,0.6349031652602432,0.17973246595828635,0.1402746953731749
Deoria Tarkulwa Tarkulwa,DEORIA,6,6,701,0.3949007455859677,0.6737740330792947,0.3368039638447499,0.43877349557756695,0.5164319960461838,0.7018268280791026,0.1819221380281491,0.15276204622288783
Etah Aavagarh Badhawali,ETAH,6,6,681,0.277633984867269,0.23016648846519608,0.7911962067130413,0.8451564864924983,0.4027811795876704,0.36552585510621727,1.1923644891433325,1.0905032585459953
Etah Jalesar Hasangarh,ETAH,6,6,700,0.31582689582937584,0.264959652153144,2.2028476545191733,2.24841922103134,0.28185513545106766,0.23855755199156067,3.0451092187478213,2.9153237809846333
Etah Jalesar Sakrauli,ETAH,7,7,721,0.35259596580709457,0.38574292472260396,3.212277275223531,3.2141390474573837,0.2524244798007987,0.31595127536822226,4.307763763809917,4.2241827547914435
FAREDUPUR PRATHMIK VIDYALAYA,PRATAPGARH,7,7,746,0.48934298400647264,0.4018793409698984,0.9950661212465359,0.9505031991936289,0.4507893911946382,0.3426746547491491,1.2797284291795192,1.2659835596001408
Firozabad Madanpur Rudhawali,FIROZABAD,4,4,406,0.44411368966125825,0.5833072918541613,2.5572214993008555,2.512751689258811,0.3908526441003002,0.5407911461331854,1.9637691748660093,1.916190370393891
Gadhela Panchayat Bhawan,JALAUN,7,7,829,3.955765370205231,2.887272843784008,4.1204310355287825,3.7996732564485978,4.0481084527773525,2.9304313908890416,8.357886338607504,8.689442409521618
Gorakhpur Barahalganj Bhatpar (Saukhor),GORAKHPUR,6,6,712,0.4478278877607623,0.3860177114044827,0.5163902200215931,0.5218331776227189,0.5008160486495334,0.5426454898434353,0.4001471512951266,0.2900478214282568
Gorakhpur Barahalganj Ojhauli,GORAKHPUR,7,7,829,0.1999676572055035,0.16904469646672188,0.8016896812954686,0.886749058530302,0.36227749278187693,0.3632604550575071,0.3685760968128074,0.2941828337589401
Gorakhpur Belghat Belghat,GORAKHPUR,7,7,745,0.42713152022152345,0.4394039459631298,0.39626194016234095,0.4627915006998214,0.5730062021862209,0.5976506570982755,0.37787472228443403,0.49374886000471163
Gorakhpur Belghat Murarpur,GORAKHPUR,6,6,657,1.119080425772791,0.5623507811067391,1.0131406947062669,0.8096467251280427,1.292195934814391,0.8289213468323016,0.7192787586210464,0.7508509110117199
Gorakhpur Chargaon Beniganj,GORAKHPUR,7,7,721,0.4743665747266111,0.5265806185097293,0.5093653241011468,0.5553086647370502,0.5256616602024,0.5808879083235127,0.27575168032485253,0.316123662644501
Gorakhpur Gagaha Gagaha,GORAKHPUR,6,6,684,0.4696805737220928,0.11895107172952811,0.45953068690032384,0.34994728174539325,0.579384276363229,0.2576961934327881,0.4066547644246023,0.4626270790130114
Gorakhpur Gola Dhakwarchak,GORAKHPUR,6,6,713,0.8440377293105057,1.124773053749306,0.7742448287513982,1.0166650702050175,0.9572371204891441,1.2942479876814057,0.4212717623246652,0.4192067968695958
Gorakhpur Gola Gopalpur Patham,GORAKHPUR,6,6,713,0.757583420198057,0.981004083862061,0.6208850644307473,0.7723129574435439,0.9185998367831215,1.1630868846277624,0.4932949142261743,0.4212272389855931
Gorakhpur Gola Turkwaliya,GORAKHPUR,7,7,829,0.7555024914705223,0.7430754708865561,0.7824068401672726,0.7274084404024205,0.8876062417939202,0.8899216336939829,1.0030574507469503,0.8119807764054825
Gorakhpur Kauriram Dhausa,GORAKHPUR,8,8,841,1.4099984273397426,1.722089647783288,1.179208688367296,1.3981278115674354,1.5395847974825476,1.8647608551213404,0.7950163675420874,0.6936871508980902
Gorakhpur Kauriram Jagdispur Bhaluwan 2Nd,GORAKHPUR,7,7,721,1.1027861127012453,1.2887060954696385,0.9918924789208112,1.009934121474322,1.2281326199803413,1.4529468887672135,0.8111940419370179,0.768538701442601
Gorakhpur Pali Dumari Niwas,GORAKHPUR,7,7,837,0.4872065626126784,0.6646926922783929,0.5675241255731722,0.6965991026786035,0.6367426465614106,0.7796308726317708,0.8083766953680335,0.8242937376461251
Gorakhpur Pali Pali,GORAKHPUR,7,7,721,0.5012809636957944,0.6280860556001124,0.5474489026615061,0.38360303831853326,0.590534932205955,0.7223945363352609,0.8768499213536588,0.8060709574180533
Gorakhpur Sahjanwa Kasrol,GORAKHPUR,8,8,841,0.24568514826223714,0.4184587171227367,0.5376182370504241,0.5336081385516149,0.2671813484673872,0.5650830829104936,1.1039636957361207,0.8200289701807881
Gorakhpur Sardarnagr Awadpur,GORAKHPUR,7,7,725,0.265544680866778,0.24290642423852385,0.4376421580061717,0.4452051073724967,0.23864819317151081,0.21926209318268955,0.46621324871075065,0.40345107292327953
Gorakhpur Urwa Malhanpar,GORAKHPUR,8,8,841,0.9098759691565785,1.2426472773710422,0.730753465083477,1.0100774454976558,1.0486270874115478,1.4058478577110998,0.6873988019839934,0.5643555315717435
Goshala Bada Gaon,BANDA,7,7,821,3.8031184822721538,3.0590052858272787,3.350043050845236,2.2646660711627873,3.822493429963149,2.9983083121853933,7.413119826302985,8.211327885751574
Goshala Bankat,BANDA,7,7,829,1.1636711353783598,0.22497360858708643,1.9965460268355826,1.554438455352898,1.2039624853830957,0.18874835786558727,7.888234508200176,8.729422508283408
Goshala Basela,HAMIRPUR,7,7,829,1.6776004771840787,1.3137840139637813,1.9019396154453192,1.6448722229439463,1.9488932352233568,1.5683142327096866,5.167896424626834,6.032137903924634
Goshala Bhadehdu,BANDA,7,7,829,6.317874039306428,6.287056393423969,4.978002046327723,4.346790552598279,6.340652323631841,6.268586469787426,10.38635899174843,10.46241062323149
Goshala Churaha,HAMIRPUR,6,6,624,0.33892998142251135,0.28745252614303163,2.1671963058759904,2.2019392604592753,0.22403536598007587,0.19477743180468568,10.562495786825407,11.517383796941113
Goshala Ghuri,BANDA,7,7,829,1.4859152481693962,0.827339646432234,1.1900989615898752,0.6139033473930587,1.5930070077914462,0.9554342113128532,5.656814026145995,6.4550578926390285
Goshala Pachhahan,BANDA,7,7,825,0.23961516091688095,0.23257080092821916,1.737460166502911,1.7677957122313095,0.2402769038196385,0.18565249341321413,7.290896572170476,8.17347111604497
Goyla,MUZAFFARNAGAR,7,7,761,0.716907729592663,1.0137783744025706,1.8494823767398585,2.10261176259089,0.6042465207992099,0.8208763769991498,2.5302997132523335,2.650826350457113
"Gram Panchayat Sachiwalaya / D.B.R. Ambedkar Samudayak Bhawan, Durkhuroo",JHANSI,7,7,829,0.2702053056695465,0.2816491928317532,1.574314104731784,1.624362615269378,0.24172464653522127,0.15243223436253336,6.706303306499815,2.1006808505135384
Grampunchayat Sachiwalaya Deori,SONBHADRA,7,7,825,0.9506587182799267,0.9820239952159394,0.9440660467362259,1.0089316025537678,1.1911888824507104,1.122301337432643,1.3317631558765772,1.2712911339742083
