gwl_station,src_station,dist_km
"Gram Panchayat Sachiwalaya / D.B.R. Ambedkar Samudayak Bhawan, Durkhuroo",Lahchura ARG + D/S,30.95071211723933
"Gram Panchayat Sachiwalaya / D.B.R. Ambedkar Samudayak Bhawan, Durkhuroo",Pathari Dam,34.3601839453983
Grampunchayat Sachiwalaya Deori,Dhandhraul Dam Gate -3,7.141676511126704
Grampunchayat Sachiwalaya Deori,Bhainsora Canal,14.260181516115352
Grampunchayat Sachiwalaya Deori,Nagwa Dam Gate -1,23.27854480734927
Gundaha,Rasin Dam,69.99249270065268
Gundaha,Rangwa Dam (ARG+AWLR),70.00012916046167
Gundaha,Lahchura ARG + D/S,93.68098735088529
Gyana Majra Pr. Vid.,Lalukhedi ARG,13.42340308951349
Gyana Majra Pr. Vid.,Saharanpur ARG,37.34481401141911
Gyana Majra Pr. Vid.,RAMALA ARG,44.63454099638652
HARNHAPUR PRATHAMIK VIDYALAYA,Lower Khajuri RB Canal,103.66299961433282
HARNHAPUR PRATHAMIK VIDYALAYA,Gunta Dam,108.90869055944532
HARNHAPUR PRATHAMIK VIDYALAYA,Atraulia,109.16920536390592
HOLAGARH PURV MADHYAMIK VIDYALAYA,Gunta Dam,78.6243146017975
HOLAGARH PURV MADHYAMIK VIDYALAYA,Lower Khajuri RB Canal,104.5327437579688
HOLAGARH PURV MADHYAMIK VIDYALAYA,Meja Dam Gate -1,106.59443167016266
Halwana,Kalsia ARG,14.06241107175462
Halwana,Gangroo ARG,17.44846172698725
Halwana,Raipur ARG,25.03629530926277
Hamirpur Kurara Damar,Lahchura ARG + D/S,99.81068865344017
Hamirpur Kurara Damar,Lakheri Dam ARG+AWLR,102.33016306560756
Hamirpur Kurara Damar,Pahari Dam,107.49825640604479
Hamirpur Kurara Jalokhar,Lahchura ARG + D/S,102.71087767459491
Hamirpur Kurara Jalokhar,Lakheri Dam ARG+AWLR,105.97329439736252
Hamirpur Kurara Jalokhar,Rasin Dam,109.5449340173623
Hamirpur Sarila Purani,Lahchura ARG + D/S,68.43379540733713
Hamirpur Sarila Purani,Lakheri Dam ARG+AWLR,72.0771116789094
Hamirpur Sarila Purani,Pahari Dam,75.86612830917784
Hamirpur Sumerpur Etara,Rasin Dam,84.90674101997939
Hamirpur Sumerpur Etara,Rangwa Dam (ARG+AWLR),84.91444477921485
Hamirpur Sumerpur Etara,Lahchura ARG + D/S,100.99709323312295
Hamirpur Sumerpur Para,Rasin Dam,85.19566020827699
Hamirpur Sumerpur Para,Rangwa Dam (ARG+AWLR),85.203338628205
Hamirpur Sumerpur Para,Lahchura ARG + D/S,105.97629307288734
High School & Inter College Boroda,RAMALA ARG,15.323921582599933
High School & Inter College Boroda,Barut ARG,22.39334085867216
High School & Inter College Boroda,Lalukhedi ARG,25.099662427556733
"ITI Campus, ITI Campus Area",Lalukhedi ARG,24.48807193276819
"ITI Campus, ITI Campus Area",RAMALA ARG,47.10864851285174
"ITI Campus, ITI Campus Area",Barut ARG,56.03896645443883
Inter Collage Khampar,Bhatpar Rani_1,5.6150126233974715
Inter Collage Khampar,Pathar Dewa,29.211144396717277
Inter Collage Khampar,Bhaluani,29.775027873722387
"Inter College, Sarv Hitakari",Sarauli ARG,93.522926574068
"Inter College, Sarv Hitakari",Daulla ARG,95.8253743050794
"Inter College, Sarv Hitakari",Lalukhedi ARG,100.0517759919572
"Inter college, Tindwara",Rasin Dam,41.25945214931978
"Inter college, Tindwara",Rangwa Dam (ARG+AWLR),41.26705965279585
"Inter college, Tindwara",Gunta Dam,81.26230938789924
"Irrigation Department, Amawar",Rihand Dam_1,30.25667276388546
"Irrigation Department, Amawar",OBRA AWS,48.17259802084521
"Irrigation Department, Amawar",Dhandhraul Dam Gate -3,55.21366677874558
Jamalpur_2,Bhaoni Dam-1,21.36419479615462
Jamalpur_2,Utari Dam,24.96925016548974
Jamalpur_2,Dhukawan ARG + D/S,26.46831577854846
"Janata Inter College, Lachheda",Lalukhedi ARG,21.34314473495091
"Janata Inter College, Lachheda",RAMALA ARG,41.900158784298405
"Janata Inter College, Lachheda",Barut ARG,50.71930759149529
Jauharpur,Rasin Dam,60.4523534643283
